1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
6430.0;6284.0;5689.0;7982.0;7411.0;5354.0;3831.0;8526.0;3818.0;4712.0;4279.0;5767.0;4897.0;7782.0;6715.0;4870.0;4103.0;4580.0;6461.0;6225.0;5801.0;3870.0;4411.0;5427.0;4407.0;3691.0;7281.0;6038.0;5131.0;4573.0;6230.0;6732.0;4565.0;6133.0;6005.0;4279.0;4434.0;7875.0;5319.0
6734.0;6314.0;5736.0;8105.0;7436.0;5451.0;3888.0;8631.0;3895.0;4740.0;4600.0;6003.0;5038.0;7925.0;6766.0;5034.0;4145.0;4612.0;6585.0;6308.0;5904.0;3893.0;4442.0;5575.0;4572.0;3898.0;7306.0;6083.0;5262.0;4731.0;6257.0;6844.0;4634.0;6252.0;6134.0;4422.0;4576.0;7984.0;5359.0
6838.0;6427.0;5878.0;8244.0;7547.0;5621.0;3935.0;8727.0;3948.0;4839.0;4713.0;6116.0;5433.0;8035.0;6829.0;5054.0;4225.0;4719.0;6611.0;6381.0;6029.0;3947.0;4576.0;5687.0;4612.0;4020.0;7395.0;6150.0;5650.0;4766.0;6351.0;6944.0;4720.0;6397.0;6217.0;4540.0;4632.0;8102.0;5518.0
6995.0;6447.0;6024.0;8492.0;7693.0;5647.0;3990.0;8924.0;3981.0;5029.0;4741.0;6231.0;5682.0;8150.0;6885.0;5192.0;4348.0;4904.0;6733.0;6426.0;6360.0;4001.0;4720.0;5914.0;4652.0;4091.0;7604.0;6254.0;5765.0;4859.0;6450.0;6968.0;4859.0;6564.0;6251.0;4576.0;4771.0;8233.0;5645.0
7182.0;6603.0;6100.0;8630.0;7882.0;5892.0;4329.0;9191.0;4100.0;5062.0;4816.0;6344.0;5737.0;8346.0;6952.0;5217.0;4372.0;4936.0;6863.0;6452.0;6414.0;4040.0;4758.0;5982.0;4715.0;4122.0;7719.0;6306.0;5861.0;5196.0;6503.0;7190.0;4957.0;6599.0;6449.0;4611.0;5005.0;8394.0;5695.0
7275.0;6743.0;6322.0;8764.0;7976.0;6131.0;4385.0;9288.0;4169.0;5160.0;4906.0;6451.0;5760.0;8390.0;7045.0;5332.0;4435.0;4997.0;6951.0;6698.0;6585.0;4084.0;4897.0;6020.0;4742.0;4285.0;7986.0;6442.0;5883.0;5260.0;6569.0;7241.0;5017.0;6688.0;6583.0;4708.0;5047.0;8515.0;5739.0
7395.0;6862.0;6611.0;8883.0;8109.0;6253.0;4444.0;9335.0;4248.0;5308.0;4932.0;6590.0;5880.0;8463.0;7192.0;5444.0;4471.0;5138.0;7050.0;6721.0;6723.0;4138.0;4932.0;6107.0;4855.0;4356.0;8105.0;6486.0;5980.0;5410.0;6684.0;7405.0;5039.0;6784.0;6688.0;4769.0;5120.0;8620.0;5863.0
7432.0;6910.0;6748.0;8989.0;8368.0;6286.0;4500.0;9591.0;4342.0;5582.0;5031.0;6621.0;5904.0;8501.0;7289.0;5530.0;4627.0;5210.0;7110.0;6784.0;6870.0;4223.0;5005.0;6127.0;4878.0;4415.0;8200.0;6604.0;6084.0;5456.0;6853.0;7440.0;5113.0;6849.0;6803.0;4905.0;5195.0;8794.0;5907.0
7653.0;7022.0;6869.0;9297.0;8405.0;6307.0;4569.0;9726.0;4463.0;5687.0;5257.0;6693.0;6018.0;8638.0;7310.0;5557.0;4656.0;5258.0;7175.0;6816.0;6959.0;4270.0;5056.0;6165.0;4900.0;4467.0;8336.0;6625.0;6105.0;5537.0;7028.0;7630.0;5218.0;7015.0;6904.0;5043.0;5327.0;8917.0;6040.0
7840.0;7422.0;7403.0;9326.0;8462.0;6440.0;4626.0;9839.0;4566.0;6033.0;5430.0;6810.0;6103.0;8775.0;7444.0;5577.0;4710.0;5467.0;7330.0;6974.0;7538.0;4338.0;5211.0;6433.0;4940.0;4572.0;8712.0;6714.0;6192.0;5751.0;7193.0;7822.0;5271.0;7285.0;6927.0;5118.0;5551.0;9037.0;6151.0
7869.0;7501.0;7431.0;9441.0;8522.0;6677.0;4709.0;10069.0;4595.0;6111.0;5541.0;7073.0;6199.0;8891.0;7890.0;5677.0;4810.0;5518.0;7422.0;7124.0;7656.0;4387.0;5261.0;6456.0;4998.0;4719.0;8761.0;6780.0;6314.0;5875.0;7286.0;7927.0;5342.0;7385.0;7060.0;5214.0;5598.0;9184.0;6192.0
7926.0;7530.0;7507.0;9596.0;8602.0;6738.0;4812.0;10127.0;4615.0;6411.0;5600.0;7190.0;6252.0;9000.0;7982.0;5698.0;4860.0;5748.0;7513.0;7166.0;7889.0;4502.0;5358.0;6617.0;5020.0;4771.0;8843.0;6807.0;6446.0;6216.0;7385.0;8046.0;5410.0;7499.0;7157.0;5319.0;5694.0;9323.0;6260.0
7953.0;7678.0;7685.0;9962.0;8628.0;6913.0;4904.0;10196.0;4736.0;6447.0;5688.0;7308.0;6431.0;9308.0;8117.0;5995.0;4895.0;5982.0;7648.0;7241.0;7914.0;4606.0;5529.0;6846.0;5064.0;4851.0;8939.0;6840.0;6558.0;6261.0;7504.0;8066.0;5447.0;7541.0;7188.0;5361.0;5747.0;9438.0;6308.0
8024.0;7864.0;7744.0;;8796.0;7013.0;4949.0;;4757.0;6619.0;5746.0;7412.0;6608.0;9385.0;8249.0;6085.0;5075.0;6020.0;7764.0;7306.0;8033.0;4628.0;5583.0;6961.0;5194.0;4896.0;9050.0;6917.0;6666.0;6306.0;7604.0;8177.0;5534.0;7600.0;7245.0;5426.0;5876.0;9591.0;6374.0
8067.0;7973.0;7964.0;;8922.0;7175.0;5047.0;;4844.0;6817.0;5789.0;7530.0;6715.0;9630.0;8381.0;6124.0;5136.0;6090.0;7909.0;7373.0;8110.0;4767.0;5646.0;7058.0;5267.0;4933.0;9153.0;7072.0;6803.0;6446.0;7692.0;8314.0;5654.0;7688.0;7290.0;5527.0;5980.0;9719.0;6562.0
8200.0;8091.0;8085.0;;9188.0;7282.0;5133.0;;4940.0;6847.0;5867.0;7634.0;6897.0;9792.0;8499.0;6164.0;5244.0;6205.0;7950.0;7402.0;8245.0;4864.0;5690.0;7168.0;5515.0;5021.0;9375.0;7226.0;6902.0;6616.0;7716.0;8343.0;5698.0;7719.0;7310.0;5598.0;6038.0;9842.0;6610.0
