1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
;;10229.0;;;7768.0;9790.0;9995.0;;7586.0;8173.0;6582.0;;10127.0;8427.0;8929.0;8412.0;8701.0;7273.0;9734.0;8000.0;9564.0;;9716.0;;;9610.0;;;;;;
;;;;;7876.0;9852.0;10095.0;;7692.0;8199.0;6703.0;;;8448.0;9015.0;8474.0;8794.0;7325.0;9796.0;8084.0;9687.0;;9845.0;;;9792.0;;;;;;
;;;;;8052.0;9887.0;10121.0;;7759.0;8275.0;6862.0;;;8469.0;9183.0;8636.0;8870.0;7441.0;9820.0;8170.0;9715.0;;9985.0;;;9951.0;;;;;;
;;;;;8110.0;9977.0;10223.0;;7892.0;8353.0;6891.0;;;8590.0;9279.0;8690.0;8890.0;7524.0;10101.0;8246.0;9963.0;;10080.0;;;10079.0;;;;;;
;;;;;8146.0;10104.0;;;8011.0;8430.0;6980.0;;;8706.0;9299.0;8895.0;9017.0;7608.0;10171.0;8321.0;10081.0;;;;;10207.0;;;;;;
;;;;;8256.0;10188.0;;;8033.0;8452.0;7084.0;;;8785.0;9510.0;9009.0;9053.0;7693.0;10233.0;8668.0;10111.0;;;;;10229.0;;;;;;
;;;;;8316.0;;;;8180.0;8474.0;7306.0;;;8845.0;9619.0;9033.0;9133.0;7798.0;;8757.0;;;;;;;;;;;;
;;;;;8353.0;;;;8207.0;8576.0;7520.0;;;8865.0;9687.0;9076.0;9179.0;7874.0;;8926.0;;;;;;;;;;;;
;;;;;8461.0;;;;8323.0;8691.0;7605.0;;;9007.0;9712.0;9147.0;9358.0;7901.0;;9041.0;;;;;;;;;;;;
;;;;;8562.0;;;;8347.0;8781.0;7702.0;;;9056.0;9813.0;9357.0;9462.0;8098.0;;9181.0;;;;;;;;;;;;
;;;;;8673.0;;;;8435.0;8891.0;7802.0;;;9176.0;10103.0;9453.0;9577.0;8157.0;;9250.0;;;;;;;;;;;;
;;;;;8763.0;;;;8468.0;9087.0;7869.0;;;9298.0;;9484.0;9610.0;8207.0;;9357.0;;;;;;;;;;;;
;;;;;8822.0;;;;8579.0;9160.0;7898.0;;;9458.0;;9600.0;9716.0;8292.0;;9601.0;;;;;;;;;;;;
;;;;;8871.0;;;;8611.0;9260.0;7999.0;;;9726.0;;9684.0;9887.0;8379.0;;9691.0;;;;;;;;;;;;
;;;;;8933.0;;;;8718.0;9290.0;8076.0;;;9883.0;;9728.0;9956.0;8477.0;;9732.0;;;;;;;;;;;;
;;;;;8959.0;;;;8742.0;9363.0;8169.0;;;10083.0;;9811.0;10081.0;8571.0;;9811.0;;;;;;;;;;;;
;;;;;9062.0;;;;8887.0;9442.0;8279.0;;;;;9977.0;;8662.0;;9858.0;;;;;;;;;;;;
;;;;;9174.0;;;;9023.0;9509.0;8348.0;;;;;10076.0;;8687.0;;9902.0;;;;;;;;;;;;
;;;;;9348.0;;;;9048.0;9614.0;8376.0;;;;;10165.0;;8775.0;;9964.0;;;;;;;;;;;;
;;;;;9482.0;;;;9151.0;9690.0;8466.0;;;;;10208.0;;8858.0;;10089.0;;;;;;;;;;;;
;;;;;9521.0;;;;9174.0;9719.0;8495.0;;;;;;;8897.0;;10127.0;;;;;;;;;;;;
;;;;;9594.0;;;;9330.0;9853.0;8583.0;;;;;;;8964.0;;10233.0;;;;;;;;;;;;
