1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
10201.0;9268.0;8032.0;8026.0;7663.0;6398.0;5723.0;6794.0;6196.0;7056.0;7183.0;6517.0;5977.0;8737.0;5946.0;7934.0;6828.0;5703.0;7429.0;6587.0;10057.0;6394.0;;6103.0;6411.0;5812.0;7644.0;9225.0;6937.0;6642.0;8129.0
;9355.0;8382.0;8138.0;7689.0;6500.0;5845.0;6826.0;6216.0;7098.0;7286.0;6583.0;6081.0;8862.0;6013.0;8199.0;6996.0;5753.0;7664.0;6626.0;10172.0;6479.0;;6159.0;6483.0;5902.0;7779.0;9336.0;7061.0;6695.0;8275.0
;9453.0;8408.0;8220.0;7821.0;6526.0;5867.0;7167.0;6298.0;7178.0;7419.0;6607.0;6140.0;8975.0;6123.0;8349.0;7057.0;5805.0;7792.0;6800.0;;6521.0;;6184.0;6684.0;5956.0;7973.0;9368.0;7178.0;6800.0;8378.0
;9557.0;8495.0;8282.0;7881.0;6680.0;6002.0;7264.0;6416.0;7283.0;7444.0;6677.0;6315.0;9121.0;6376.0;8461.0;7167.0;5898.0;8032.0;6843.0;;6607.0;;6213.0;6907.0;6087.0;8042.0;9630.0;7264.0;6824.0;8492.0
;9713.0;8673.0;8385.0;7958.0;6705.0;6027.0;7303.0;6504.0;7400.0;7530.0;6725.0;6338.0;9198.0;6497.0;8570.0;7187.0;5924.0;8455.0;6879.0;;6894.0;;6369.0;6976.0;6277.0;8170.0;9842.0;7401.0;6993.0;8682.0
;9842.0;8792.0;8499.0;8014.0;6830.0;6191.0;7402.0;6528.0;7655.0;7703.0;6860.0;6415.0;9339.0;6607.0;8712.0;7260.0;6016.0;8503.0;6910.0;;7045.0;;6487.0;7013.0;6348.0;8289.0;9951.0;7507.0;7070.0;8704.0
;10106.0;9007.0;8666.0;8133.0;7009.0;6232.0;7438.0;6624.0;7794.0;7799.0;6941.0;6526.0;9368.0;6652.0;8805.0;7281.0;6036.0;8644.0;7210.0;;7087.0;;6521.0;7090.0;6475.0;8326.0;10173.0;7631.0;7120.0;8823.0
;10205.0;9109.0;8791.0;8212.0;7157.0;6394.0;7660.0;6695.0;7814.0;8046.0;7053.0;6572.0;9440.0;6681.0;8933.0;7397.0;6090.0;8673.0;7264.0;;7172.0;;6801.0;7213.0;6534.0;8518.0;;7788.0;7401.0;8923.0
;;9251.0;8821.0;8276.0;7181.0;6465.0;7693.0;6717.0;7941.0;8123.0;7160.0;6644.0;9472.0;6731.0;8981.0;7427.0;6141.0;8767.0;7324.0;;7217.0;;6826.0;7316.0;6560.0;8544.0;;8003.0;7521.0;8960.0
;;9283.0;8962.0;8378.0;7406.0;6512.0;7792.0;7096.0;8064.0;8336.0;7205.0;6936.0;9563.0;6809.0;9020.0;7528.0;6176.0;8923.0;7455.0;;7304.0;;6900.0;7381.0;6672.0;8613.0;;8130.0;7659.0;9128.0
