1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
7219.0;;6222.0;5907.0;7215.0;4498.0;5178.0;5576.0;4937.0;6103.0;4310.0;3858.0;5524.0;5011.0;3214.0;5499.0;4748.0;4501.0;3351.0;6568.0;4755.0;4408.0;5269.0;6663.0;4702.0;4952.0;4088.0;7068.0;6586.0;8253.0;4365.0;4477.0;5306.0;4656.0;5398.0;5281.0;5833.0;6659.0
7315.0;;6257.0;5945.0;7306.0;4550.0;5201.0;5621.0;5210.0;6167.0;4416.0;3908.0;5588.0;5048.0;3255.0;5545.0;4947.0;4609.0;3517.0;6606.0;4854.0;4461.0;5390.0;6710.0;4722.0;4984.0;4132.0;7212.0;6659.0;8418.0;4466.0;4571.0;5479.0;4679.0;5475.0;5455.0;5939.0;6687.0
7429.0;;6410.0;5993.0;7538.0;4695.0;5228.0;5707.0;5239.0;6272.0;4486.0;3944.0;5704.0;5172.0;3328.0;5575.0;5048.0;4785.0;3667.0;6662.0;4916.0;4580.0;5526.0;6844.0;4758.0;5392.0;4169.0;7313.0;6711.0;8518.0;4564.0;4756.0;5503.0;4715.0;5499.0;5584.0;6075.0;6949.0
7661.0;;6506.0;6122.0;7583.0;4754.0;5323.0;6085.0;5478.0;6388.0;4617.0;4030.0;5868.0;5216.0;3382.0;5614.0;5219.0;4866.0;3765.0;6790.0;5072.0;4613.0;5595.0;6928.0;4862.0;5428.0;4225.0;7417.0;6736.0;8626.0;4651.0;4837.0;5769.0;4741.0;5593.0;5607.0;6463.0;7078.0
7773.0;;6551.0;6228.0;7794.0;4816.0;5471.0;6111.0;5585.0;6438.0;4728.0;4066.0;5897.0;5491.0;3418.0;5746.0;5303.0;4960.0;3791.0;6902.0;5194.0;4702.0;5621.0;7051.0;4923.0;5506.0;4268.0;7537.0;6828.0;8875.0;4711.0;4915.0;6008.0;4927.0;5801.0;5686.0;6503.0;7191.0
8141.0;;6681.0;6261.0;7986.0;4921.0;5587.0;6411.0;5629.0;6547.0;4749.0;4166.0;5933.0;5606.0;3556.0;5840.0;5387.0;5077.0;3942.0;6943.0;5217.0;4723.0;5686.0;7187.0;5043.0;5586.0;4365.0;7579.0;6930.0;8953.0;4811.0;4940.0;6295.0;5014.0;5827.0;5800.0;6555.0;7211.0
8260.0;;6845.0;6547.0;8424.0;5034.0;5634.0;6553.0;5713.0;6610.0;4917.0;4215.0;6005.0;5628.0;3627.0;5990.0;5418.0;5158.0;4028.0;7029.0;5328.0;4863.0;5798.0;7286.0;5081.0;5629.0;4392.0;7886.0;7074.0;9068.0;4871.0;5119.0;6574.0;5236.0;5901.0;5901.0;6630.0;7345.0
8535.0;;6947.0;6942.0;8525.0;5091.0;5896.0;6599.0;5739.0;6654.0;5036.0;4341.0;6138.0;5706.0;3664.0;6121.0;5641.0;5243.0;4064.0;7202.0;5357.0;4930.0;5895.0;7400.0;5151.0;5705.0;4469.0;7998.0;7191.0;9163.0;4919.0;5215.0;6788.0;5298.0;6011.0;6008.0;6653.0;7373.0
8555.0;;7023.0;6978.0;8556.0;5161.0;5942.0;6641.0;5761.0;6712.0;5216.0;4446.0;6424.0;5793.0;3739.0;6404.0;5706.0;5499.0;4357.0;7241.0;5482.0;4982.0;5958.0;7529.0;5220.0;5752.0;4571.0;8130.0;7231.0;9298.0;5111.0;5310.0;6840.0;5343.0;6291.0;6237.0;6725.0;7490.0
8642.0;;7071.0;7064.0;8726.0;5217.0;5975.0;6678.0;5834.0;6782.0;5287.0;4478.0;6682.0;5877.0;3785.0;6523.0;5729.0;5592.0;4488.0;7300.0;5632.0;5287.0;6004.0;7584.0;5276.0;5840.0;4706.0;8249.0;7284.0;9415.0;5155.0;5386.0;6993.0;5390.0;6402.0;6392.0;6897.0;7631.0
8785.0;;7206.0;7200.0;8774.0;5262.0;5995.0;6793.0;5906.0;6811.0;5508.0;4508.0;6759.0;5901.0;3863.0;6659.0;5834.0;5746.0;4605.0;7325.0;5819.0;5390.0;6241.0;7629.0;5394.0;5887.0;4820.0;8396.0;7331.0;9526.0;5302.0;5487.0;7038.0;5581.0;6471.0;6512.0;6922.0;7762.0
8882.0;;7354.0;7347.0;8806.0;5318.0;6130.0;6853.0;5982.0;6900.0;5835.0;4590.0;6836.0;5997.0;3939.0;6922.0;6129.0;5838.0;4715.0;7437.0;5842.0;5519.0;6503.0;7740.0;5502.0;5946.0;4919.0;8522.0;7419.0;9791.0;5347.0;5601.0;7127.0;5655.0;6742.0;6607.0;7022.0;7931.0
8974.0;;7407.0;7413.0;9115.0;5365.0;6269.0;6958.0;6091.0;6932.0;5940.0;4841.0;6861.0;6398.0;3995.0;7193.0;6154.0;5915.0;4820.0;7484.0;5893.0;5620.0;6603.0;7978.0;5621.0;6048.0;5029.0;8630.0;7540.0;9905.0;5386.0;5690.0;7239.0;5706.0;6784.0;6714.0;7053.0;8083.0
9089.0;;7486.0;7444.0;9168.0;5512.0;6399.0;7190.0;6117.0;7050.0;6121.0;4922.0;6947.0;6424.0;4030.0;7325.0;6258.0;5943.0;4902.0;7528.0;5948.0;5654.0;6823.0;7998.0;5896.0;6134.0;5049.0;8874.0;7571.0;10032.0;5437.0;5773.0;7344.0;5827.0;7199.0;6851.0;7159.0;8188.0
9178.0;;7638.0;7629.0;9661.0;5589.0;6556.0;7313.0;6137.0;7191.0;6208.0;4945.0;7049.0;6507.0;4089.0;7455.0;6414.0;5996.0;4924.0;7580.0;5986.0;5717.0;6848.0;8112.0;6004.0;6229.0;5153.0;9061.0;7681.0;;5650.0;5802.0;7496.0;5948.0;7235.0;6928.0;7306.0;8307.0
9315.0;;7760.0;7678.0;9797.0;5745.0;6685.0;7355.0;6249.0;7214.0;6361.0;5167.0;7075.0;6600.0;4168.0;7578.0;6509.0;6141.0;4980.0;7756.0;6127.0;5750.0;7069.0;8140.0;6175.0;6261.0;5207.0;9081.0;7781.0;;5713.0;5866.0;7541.0;6155.0;7340.0;6954.0;7390.0;8421.0
9430.0;;7923.0;7754.0;9829.0;5781.0;6846.0;7521.0;6404.0;7247.0;6381.0;5191.0;7200.0;6657.0;4277.0;7870.0;6533.0;6195.0;5021.0;7917.0;6150.0;5832.0;7296.0;8228.0;6255.0;6393.0;5281.0;9176.0;7894.0;;5862.0;5896.0;7583.0;6198.0;7372.0;7061.0;7439.0;8595.0
9542.0;;8004.0;7999.0;9912.0;5840.0;6950.0;7576.0;6545.0;7287.0;6631.0;5218.0;7252.0;6734.0;4402.0;7896.0;6654.0;6426.0;5180.0;8282.0;6244.0;5870.0;7524.0;8363.0;6275.0;6414.0;5382.0;9214.0;8057.0;;5892.0;6106.0;7673.0;6248.0;7425.0;7191.0;7525.0;8722.0
9669.0;;8073.0;8029.0;9945.0;5897.0;7058.0;7612.0;6693.0;7456.0;6666.0;5318.0;7367.0;6860.0;4474.0;7919.0;6680.0;6553.0;5215.0;8425.0;6267.0;5959.0;7633.0;8613.0;6303.0;6444.0;5506.0;9302.0;8136.0;;5955.0;6231.0;7789.0;6284.0;7485.0;7223.0;7574.0;8816.0
9792.0;;8182.0;8292.0;10049.0;5989.0;7208.0;7875.0;6826.0;7532.0;6785.0;5488.0;7490.0;6883.0;4509.0;7959.0;6769.0;6696.0;5286.0;8542.0;6639.0;6194.0;7747.0;8752.0;6398.0;6515.0;5575.0;9434.0;8258.0;;5992.0;6279.0;7885.0;6368.0;7579.0;7308.0;7772.0;8848.0
9931.0;;8286.0;8592.0;10082.0;6113.0;7309.0;7918.0;6870.0;7577.0;6875.0;5512.0;7638.0;6903.0;4595.0;7984.0;6846.0;6774.0;5335.0;8568.0;6686.0;6295.0;7990.0;8942.0;6435.0;6556.0;5650.0;9530.0;8279.0;;6042.0;6299.0;7974.0;6395.0;7680.0;7403.0;7874.0;9004.0
10058.0;;8416.0;8720.0;10174.0;6136.0;7368.0;8140.0;6951.0;7800.0;6896.0;5693.0;7761.0;6952.0;4695.0;8177.0;6900.0;6849.0;5481.0;8786.0;6792.0;6391.0;8099.0;9149.0;6511.0;6666.0;5804.0;9658.0;8416.0;;6086.0;6402.0;8079.0;6470.0;7789.0;7529.0;7894.0;9058.0
10182.0;;8586.0;8955.0;10204.0;6218.0;7491.0;8193.0;7105.0;7897.0;7023.0;5838.0;7913.0;7067.0;4757.0;8295.0;6987.0;6952.0;5573.0;8944.0;6843.0;6607.0;8253.0;9302.0;6699.0;6780.0;5827.0;9792.0;8506.0;;6194.0;6558.0;8177.0;6509.0;7891.0;7744.0;8191.0;9115.0
;;8714.0;8990.0;;6265.0;7771.0;8373.0;7193.0;7920.0;7050.0;6138.0;7995.0;7218.0;4819.0;8367.0;7095.0;7079.0;5635.0;8994.0;6994.0;6663.0;8365.0;9450.0;6832.0;6896.0;5900.0;9922.0;8564.0;;6274.0;6634.0;8388.0;6657.0;8138.0;7887.0;8364.0;9250.0
;;8986.0;9073.0;;6493.0;7885.0;8519.0;7218.0;8051.0;7155.0;6244.0;8076.0;7360.0;4871.0;8417.0;7234.0;7160.0;5717.0;9317.0;7069.0;6778.0;8418.0;9510.0;6909.0;6932.0;5940.0;10172.0;8708.0;;6399.0;6666.0;8486.0;6791.0;8389.0;8002.0;8478.0;9393.0
;;9118.0;9199.0;;6518.0;8060.0;8814.0;7297.0;8198.0;7343.0;6411.0;8197.0;7413.0;4916.0;8567.0;7256.0;7199.0;5812.0;9415.0;7176.0;6819.0;8506.0;9637.0;6949.0;6989.0;5992.0;;8775.0;;6467.0;6792.0;8551.0;6827.0;8519.0;8134.0;8538.0;9548.0
