MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13;MU_14
-0.00023103291723188465;-0.002851504998336274;0.0016633706702244109;-0.002669865400969126;-0.001612003230558939;-0.005265895004029421;-0.0015836852951282778;0.0031051469716603546;-0.004042612184114829;0.005040614402500818;0.002869510242742666;0.0037588875760974677;0.0019582241841330046;0.0009146587794298167
-0.000291530981501036;-0.00319592359287534;0.0018327414486656091;-0.003086860188571185;-0.001734713495727029;-0.005727188303436589;-0.001765465307904578;0.0034132044763279055;-0.004550812528845755;0.005712096641112092;0.003284932586100254;0.004088593592988744;0.0020241039619637515;0.0009964552649117425
-0.00035118351840169644;-0.003510993420734376;0.002000422373510294;-0.0034881107893273864;-0.0018531466123396087;-0.006160093550264284;-0.0019377611001435825;0.0037080345572051113;-0.005046510871557742;0.006354612734011334;0.0036915011370582266;0.0043991011686943145;0.0020899845606094304;0.00107719134760061
-0.000409263543157096;-0.003794343350498569;0.0021671742538010496;-0.003871584450602584;-0.0019675441443575583;-0.006566761959424292;-0.002100648559265007;0.003991709972465314;-0.005528566598674296;0.006967819023478492;0.004089834117147704;0.004690448470927976;0.002157126851299878;0.0011581522063732973
-0.00046506936889151643;-0.004044096780234603;0.002333541713962014;-0.004235297973968449;-0.0020780869808703596;-0.0069493800600947085;-0.0022542307058135967;0.004266170581470546;-0.00599561822878648;0.007551418642995235;0.0044803183482823895;0.004962734143148976;0.0022265479101947756;0.0012404892505258197
-0.000517942644115052;-0.004258923944289672;0.0024998502419328675;-0.0045773654502487045;-0.002184904954277734;-0.007310122704059468;-0.002398632557047118;0.004533168664075711;-0.006446144450141265;0.008105126433799861;0.004863062365116798;0.005216155259504883;0.002299058340040566;0.0013251896780836962
-0.0005672849642708024;-0.004438079816505538;0.0026662055721457336;-0.004896044054881248;-0.002288083666396499;-0.0076511056256158465;-0.002533996534922199;0.004794221510441296;-0.006878520959606633;0.00862864679585502;0.005237867383840892;0.00545103166492024;0.0023752863892917138;0.0014130507547288563
-0.0006125724369566604;-0.004581426821281139;0.002832494768074071;-0.00518977892327956;-0.0023876663956438103;-0.007974341465041938;-0.0026604803337924067;0.0050505767358141095;-0.007291069006735892;0.009121677804261248;0.005604227164103695;0.005667810280161232;0.0024556767754814464;0.0015046608458119655
-0.0006533680187654968;-0.004689442571860197;0.00299839014515741;-0.005457246331374837;-0.0024836525074405594;-0.008281701065419037;-0.002778257136920006;0.0053031905650954446;-0.007682097689663518;0.009583937792636187;0.005961353484068125;0.0058670533653190984;0.0025404703910524235;0.0016003874970861765
-0.0006893316563376684;-0.004763213245812743;0.003163357692958549;-0.005697393216847802;-0.002575995295218636;-0.008574880162227967;-0.0028875168968529224;0.005552716320236845;-0.008049944375887352;0.010015201738201064;0.006308216572846525;0.0060494192971749265;0.0026296794688443355;0.0017003718096564688
-0.0007202282680880209;-0.0048044131973924925;0.003326671134210095;-0.00590947083105156;-0.0026646017733239374;-0.008855370858047308;-0.0029884672577036504;0.005799499925219436;-0.008393016608833966;0.010415334832839055;0.006643589851727796;0.006215643451642996;0.002723071453305075;0.0018045281261649382
-0.0007459334998945916;-0.004815271302565362;0.003487431790083828;-0.006093060807591396;-0.0027493355484702266;-0.009124437410563783;-0.0030813332525835555;0.006043580508700827;-0.008709836279480907;0.010784316055327361;0.006966092743960298;0.006366522927444201;0.0028201681444365726;0.0019125483569858858
-0.0007664370898973772;-0.004798524558725147;0.0036445935644954445;-0.006248092727109037;-0.0028300225110206444;-0.009383096414207901;-0.0031663556404385547;0.006284695833713757;-0.008999084465053882;0.011122250861777743;0.00727423037951105;0.006502904966748313;0.002920259675587708;0.0020239107276433486
-0.0007818436521478495;-0.0047573596879847005;0.0037969919058671326;-0.006374852953572079;-0.002906458311794476;-0.00963210196609793;-0.003243788263890123;0.006522293359445033;-0.009259644149754031;0.011429376176426469;0.007566432203915834;0.006625676765086747;0.0030224287368790254;0.002137893025078869
-0.00079237074614291;-0.00469534386493147;0.003943375555803516;-0.0064739849218779545;-0.0029784165216388855;-0.009871936615148976;-0.003313894971059251;0.0067555479142673135;-0.009490638130656925;0.011706061801919068;0.007841092104232826;0.006735754210366369;0.0031255798349744;0.002253590461077855
-0.0007983442094048811;-0.004616346096090101;0.004082440078862784;-0.0065464811847481125;-0.0030456567567869095;-0.010102808770702099;-0.003376946521537423;0.006983386436386724;-0.00969146027449804;0.01195281102146419;0.008096611419499368;0.006834068236877861;0.0032284701253405506;0.002369938103381242
-0.0008001908509866281;-0.004524451121609929;0.004212862388314535;-0.006593667514409746;-0.0031079325377208885;-0.010324656916300452;-0.0034332176595629226;0.007204519460067894;-0.009861799303014247;0.012170261057348778;0.00833144438174478;0.0069215489175737735;0.0033297407011421837;0.002485737555752448
-0.000798428703013501;-0.004423867940714374;0.004333335614411154;-0.0066171793517152515;-0.00316499896998199;-0.010537160591719472;-0.0034829843408190394;0.0074174783852649665;-0.010001655016304564;0.012359182447091508;0.008544144171067915;0.006999108402258763;0.003427948819499725;0.00259968728836223
-0.0007936550922907871;-0.004318835180942062;0.004442603680176696;-0.006618930992772951;-0.0032166204011822457;-0.010739757782575835;-0.0035265210196341688;0.007620657259635115;-0.010111347187994123;0.012520475854779948;0.008733407301613578;0.0070676240787183745;0.0035216018926691114;0.0027104157644107186
-0.0007865328293034185;-0.004213525565045536;0.004539494899734962;-0.006601078109069202;-0.0032625780769471348;-0.01093166813102036;-0.0035640979335014866;0.007812357802479753;-0.010191517380698253;0.012655165227268433;0.00889811435925607;0.007127923035990051;0.0036091934424695273;0.0028165163081798656
-0.0007777748314881841;-0.004111951710480137;0.004622953858994519;-0.006565974453906851;-0.00330267762094084;-0.011111921247187555;-0.0035959784046397394;0.007990836557171883;-0.01024312381082458;0.012764387042727518;0.00903736577323577;0.007180768375868086;0.003689240272626636;0.0029165825487169773
-0.0007681275163681045;-0.004017875444991813;0.004692070818220814;-0.006516123831580495;-0.0033367560271153882;-0.011279389340076966;-0.0036224162486518485;0.00815435319559835;-0.010267429280538231;0.012849376170789798;0.009150511917470011;0.007226847461156186;0.0037603194848181707;0.0030092433238291844
-0.000758353327720618;-0.00393472274332205;0.004746107896612055;-0.006454128527298919;-0.0033646878475021573;-0.01143282338769919;-0.0036436533985519486;0.008301219001193967;-0.010265982157005622;0.012911449252152143;0.009237177181023216;0.0072667619732399834;0.0038211039714353212;0.0030931961956594486
-0.0007492127954864456;-0.003865506279305776;0.0047845213455198305;-0.0063826353938309524;-0.0033863903841323123;-0.011570892118237914;-0.0036599178168123083;0.008429844417337223;-0.01024059043927267;0.012951986454338562;0.009297277719602733;0.007301019695563391;0.0038703955758378787;0.003167239180673407
-0.0007414465693962251;-0.0038127574365715853;0.004806979278889679;-0.006304280706956247;-0.003401827880107191;-0.01169222314198221;-0.003671421709555094;0.008538784359192933;-0.01019328913223057;0.012972412113959648;0.00933103254372999;0.00733002814753959;0.0039071558073090085;0.003230300756667217
-0.000735757891379669;-0.0037784694234396527;0.004813374318287685;-0.006221634830171404;-0.0034110148444831336;-0.011795445586887663;-0.0036783600208743225;0.008626779903881478;-0.010126301479131957;0.012974174385107902;0.009338967587526507;0.007354090424577269;0.003930534298793145;0.0032814683730025933
-0.0007327959644593513;-0.003764052891024303;0.004803830755989052;-0.006137147775833181;-0.0034140186354677123;-0.011879233462909086;-0.003680909207192829;0.008692795137256114;-0.010041995092986887;0.012958723830500464;0.009321912545096466;0.007373403709830894;0.0039398947216650665;0.0033200152681625984
