1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
14816.0;8137.0;7988.0;7566.0;8020.0;6807.0;9042.0;8526.0;6881.0;6845.0;7340.0;7390.0;7378.0;7039.0;8255.0;7222.0;8212.0;7542.0;7274.0
15143.0;8184.0;8085.0;7638.0;8123.0;6847.0;9104.0;8577.0;7084.0;7091.0;7361.0;7411.0;7445.0;7066.0;8376.0;7249.0;8274.0;7579.0;7385.0
15165.0;8375.0;8136.0;7719.0;8156.0;7025.0;9227.0;8627.0;7108.0;7118.0;7409.0;7533.0;7637.0;7151.0;8434.0;7278.0;8323.0;7647.0;7453.0
15250.0;8475.0;8214.0;7864.0;8261.0;7072.0;9320.0;8759.0;7271.0;7161.0;7492.0;7607.0;7701.0;7236.0;8489.0;7318.0;8376.0;7674.0;7493.0
15939.0;8498.0;8264.0;7949.0;8317.0;7101.0;9425.0;8800.0;7294.0;7205.0;7563.0;7714.0;7726.0;7271.0;8568.0;7455.0;8626.0;7925.0;7574.0
16073.0;8566.0;8301.0;7989.0;8392.0;7135.0;9475.0;8870.0;7393.0;7227.0;7619.0;7765.0;7890.0;7306.0;8604.0;7504.0;8860.0;7946.0;7655.0
16184.0;8633.0;8357.0;8179.0;8496.0;7196.0;9646.0;8910.0;7453.0;7254.0;7667.0;7881.0;7947.0;7365.0;8699.0;7571.0;8939.0;7979.0;7745.0
16275.0;8854.0;8419.0;8321.0;8522.0;7221.0;9706.0;9037.0;7498.0;7310.0;7862.0;7933.0;7983.0;7411.0;8921.0;7656.0;9015.0;8000.0;7896.0
16320.0;8915.0;8506.0;8353.0;8701.0;7301.0;9862.0;9137.0;7621.0;7574.0;8027.0;8020.0;8248.0;7475.0;8961.0;7713.0;9067.0;8096.0;7957.0
16438.0;8979.0;8553.0;8385.0;8731.0;7364.0;10017.0;9211.0;7656.0;7644.0;8102.0;8141.0;8295.0;7556.0;9023.0;7778.0;9137.0;8160.0;8020.0
16504.0;9079.0;8587.0;8419.0;8895.0;7411.0;10118.0;9286.0;7696.0;7666.0;8142.0;8222.0;8382.0;7583.0;9083.0;7928.0;9230.0;8222.0;8042.0
16581.0;9142.0;8640.0;8445.0;8965.0;7451.0;10138.0;9311.0;7748.0;7702.0;8170.0;8349.0;8431.0;7799.0;9137.0;7955.0;9292.0;8254.0;8081.0
16892.0;9250.0;8764.0;8492.0;9002.0;7577.0;10195.0;9424.0;7773.0;7781.0;8236.0;8388.0;8567.0;7825.0;9210.0;8052.0;9315.0;8291.0;8101.0
17089.0;9309.0;8973.0;8533.0;9064.0;7600.0;10226.0;9456.0;7870.0;7810.0;8467.0;8438.0;8591.0;7923.0;9339.0;8106.0;9363.0;8313.0;8154.0
17164.0;9344.0;9164.0;8560.0;9092.0;7767.0;10306.0;9605.0;7918.0;7852.0;8517.0;8483.0;8682.0;8003.0;9373.0;8243.0;9417.0;8397.0;8188.0
17537.0;9397.0;9355.0;8594.0;9205.0;7789.0;10345.0;9635.0;7950.0;7912.0;8544.0;8545.0;8803.0;8028.0;9470.0;8316.0;9450.0;8470.0;8223.0
